iter	Passed	Remaining
0	138	138388
1	139	69530
2	140	46568
3	141	35112
4	141	28184
5	142	23593
6	143	20294
7	143	17815
8	144	15885
9	144	14340
10	145	13076
11	147	12148
12	148	11260
13	148	10492
14	149	9824
15	150	9239
16	150	8722
17	151	8260
18	152	7848
19	152	7477
20	153	7154
21	154	6857
22	154	6583
23	155	6328
24	156	6096
25	156	5879
26	157	5676
27	158	5488
28	158	5311
29	159	5154
30	160	5005
31	160	4866
32	161	4735
33	162	4608
34	162	4489
35	163	4377
36	164	4272
37	164	4173
38	165	4078
39	166	3995
40	167	3911
41	168	3833
42	168	3754
43	169	3679
44	169	3607
45	170	3538
46	171	3472
47	171	3410
48	172	3350
49	173	3291
50	173	3234
51	174	3178
52	175	3131
53	175	3081
54	176	3033
55	177	2986
56	177	2941
57	178	2899
58	179	2859
59	179	2819
60	180	2780
61	181	2742
62	181	2705
63	182	2669
64	183	2634
65	183	2599
66	184	2567
67	185	2536
68	185	2505
69	186	2475
70	186	2446
71	187	2418
72	188	2390
73	188	2363
74	189	2337
75	190	2313
76	190	2288
77	191	2263
78	192	2240
79	192	2216
80	193	2194
81	194	2172
82	194	2148
83	195	2127
84	195	2106
85	196	2086
86	197	2070
87	197	2051
88	198	2032
89	199	2015
90	199	1997
91	200	1979
92	201	1961
93	201	1945
94	202	1929
95	203	1913
96	204	1899
97	204	1884
98	205	1869
99	206	1855
100	206	1840
101	207	1826
102	208	1811
103	208	1797
104	209	1785
105	210	1772
106	210	1759
107	211	1746
108	212	1733
109	212	1721
110	213	1709
111	214	1696
112	214	1684
113	215	1674
114	216	1663
115	216	1652
116	217	1640
117	218	1630
118	218	1620
119	219	1609
120	220	1599
121	220	1587
122	221	1577
123	222	1568
124	222	1559
125	223	1550
126	223	1539
127	224	1529
128	225	1520
129	225	1511
130	226	1503
131	227	1494
132	227	1485
133	228	1478
134	229	1470
135	230	1462
136	230	1454
137	231	1446
138	232	1437
139	232	1429
140	233	1421
141	233	1412
142	234	1405
143	235	1398
144	235	1391
145	236	1384
146	237	1376
147	237	1369
148	238	1362
149	239	1354
150	239	1347
151	240	1340
152	240	1333
153	241	1326
154	242	1319
155	242	1313
156	243	1306
157	243	1299
158	244	1293
159	245	1286
160	245	1279
161	246	1272
162	246	1267
163	247	1261
164	248	1255
165	248	1250
166	249	1244
167	250	1239
168	250	1233
169	251	1227
170	252	1222
171	252	1216
172	253	1211
173	254	1206
174	255	1202
175	255	1196
176	256	1191
177	256	1186
178	257	1181
179	258	1175
180	258	1170
181	259	1165
182	259	1160
183	260	1155
184	261	1151
185	261	1146
186	262	1141
187	263	1136
188	263	1131
189	264	1127
190	264	1122
191	265	1117
192	266	1113
193	266	1108
194	267	1104
195	268	1100
196	268	1096
197	269	1091
